,BHI,BLO,LONG,MEAN,PRICE,RETURNS,SHORT,VAR,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-09-18 16:59:00+00:00,12554.0328329634,12549.492167036598,12546.27,12551.762499999999,12547.5,13.5,12542.94,,,0.0,,0.0,,,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-18 16:59:00+00:00,2017-09,2017-09-18 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,1,[],0.0
2017-09-19 16:59:00+00:00,12545.30726557736,12541.742734422643,12545.155,12543.525000000001,12544.0,40.0,12544.42,,0.0,0.0,0.0,0.0010011212558065363,0.011237558225534794,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-19 16:59:00+00:00,2017-09,2017-09-19 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,2,[],0.0
2017-09-20 16:59:00+00:00,12619.912517131914,12573.237482868088,12578.8975,12596.575,12627.0,77.0,12594.9,-0.07569362206576317,0.0,0.0,0.0,0.0013615249078968716,0.008049841595180008,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-20 16:59:00+00:00,2017-09,2017-09-20 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,3,[],0.0
2017-09-21 16:59:00+00:00,12599.857867066159,12584.717132933845,12593.9275,12592.287500000002,12584.5,85.5,12592.355,-0.06654710266118219,0.0,0.0,0.0,-0.0013214800576645258,0.02572196219577886,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-21 16:59:00+00:00,2017-09,2017-09-21 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,4,[],0.0
2017-09-22 16:59:00+00:00,12602.915357729898,12593.5596422701,12595.385,12598.2375,12605.0,79.0,12597.665,-0.06785925436620081,0.0,0.0,0.0,-0.0011212558065032407,0.022591455422186928,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-22 16:59:00+00:00,2017-09,2017-09-22 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,5,[],0.0
2017-09-25 16:59:00+00:00,12562.178027407208,12550.446972592792,12563.395,12556.3125,12565.5,94.0,12557.37,-0.05332660047108485,0.0,0.0,0.0,-0.003163543168348437,0.023400401803509403,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-25 16:59:00+00:00,2017-09,2017-09-25 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,6,[],0.0
2017-09-26 16:59:00+00:00,12599.65333269605,12590.87166730395,12595.645,12595.2625,12590.5,145.0,12595.57,-0.0624571957918227,0.0,0.0,0.0,-0.00256287041486436,0.02241101661429023,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-26 16:59:00+00:00,2017-09,2017-09-26 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,7,[],0.0
2017-09-27 16:59:00+00:00,12698.157378464655,12673.267621535348,12667.605,12685.712500000001,12664.5,138.5,12677.265,-0.0776288994869434,0.0,0.0,0.0,0.0013214800576648589,0.031656806360784794,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-27 16:59:00+00:00,2017-09,2017-09-27 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,8,[],0.0
2017-09-28 16:59:00+00:00,12713.419553242014,12705.480446757987,12708.41,12709.45,12708.5,132.0,12709.165,-0.06907341632739317,0.0,0.0,0.0,0.0025228255646325692,0.03011243521805176,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-28 16:59:00+00:00,2017-09,2017-09-28 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,9,[],0.0
2017-09-29 16:59:00+00:00,12830.60082005911,12821.824179940893,12827.7425,12826.212500000001,12829.5,129.0,12828.365,-0.06725864437634384,0.0,0.0,0.0,0.006046772385071453,0.032702962198906366,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-09-29 16:59:00+00:00,2017-09,2017-09-29 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,10,[],0.0
2017-10-02 16:59:00+00:00,12903.29425508371,12890.70574491629,12894.27,12897.0,12899.5,122.0,12896.095,-0.06647807548622996,0.0,0.0,0.0,0.010411661060387933,0.0358036470296574,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-02 16:59:00+00:00,2017-10,2017-10-02 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,11,[],0.0
2017-10-03 16:59:00+00:00,12903.29425508371,12890.70574491629,12894.27,12897.0,12899.5,122.0,12896.095,-0.06647807548622996,0.0,0.0,0.0,0.012574082972930167,0.03457443571385291,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-03 16:59:00+00:00,2017-10,2017-10-03 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,12,[],0.0
2017-10-04 16:59:00+00:00,12942.358822425367,12930.116177574635,12938.4675,12936.237500000001,12933.0,140.5,12935.87,-0.058272977930941806,0.0,0.0,0.0,0.013775428479897878,0.03310843919165716,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-04 16:59:00+00:00,2017-10,2017-10-04 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,13,[],0.0
2017-10-05 16:59:00+00:00,12976.424615225535,12971.050384774468,12970.71,12973.737500000001,12977.0,129.5,12970.67,-0.057979103357846076,0.0,0.0,0.0,0.019782156014736874,0.03793119031393104,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-05 16:59:00+00:00,2017-10,2017-10-05 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,14,[],0.0
2017-10-06 16:59:00+00:00,12964.001371894241,12954.573628105763,12947.55,12959.287500000002,12952.5,194.5,12950.85,-0.07009443475188427,0.0,0.0,0.0,0.018620855358001398,0.03800697765513376,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-06 16:59:00+00:00,2017-10,2017-10-06 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,15,[],0.0
2017-10-09 16:59:00+00:00,12938.60840874761,12927.34159125239,12944.2225,12932.975,12936.0,168.5,12938.185,-0.05617265872231447,0.0,0.0,0.0,0.016938971648246426,0.03846137373056227,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-09 16:59:00+00:00,2017-10,2017-10-09 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,16,[],0.0
2017-10-10 16:59:00+00:00,12951.437913576217,12945.037086423788,12951.4525,12948.237500000003,12951.5,163.0,12955.135,-0.053244655442171565,0.0,0.0,0.0,0.019621976613807934,0.03773687506239728,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-10 16:59:00+00:00,2017-10,2017-10-10 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,17,[],0.0
2017-10-11 16:59:00+00:00,12967.10982025616,12960.990179743842,12960.8625,12964.050000000001,12969.5,192.0,12961.455,-0.060489150987709746,0.0,0.0,0.0,0.021223770623098215,0.03664460196902373,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-11 16:59:00+00:00,2017-10,2017-10-11 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,18,[],0.0
2017-10-12 16:59:00+00:00,12976.785989518768,12966.364010481233,12974.5,12971.575,12965.0,180.0,12972.425,-0.05347698341227261,0.0,0.0,0.0,0.019702066314272182,0.03690626609824484,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-10-12 16:59:00+00:00,2017-10,2017-10-12 01:00:00+00:00,0.0,5000.0,[],0.0,,0.0,0.0,0,,5000,0.0,0.0,19,[],0.0
